ID,JUDUL MASAKAN,BAHAN,NAMA DAERAH
29,sayur bening,"(air, bawang putih, bayam, garam, jagung, kunci)",jawa
30,pepes jamur hitam,"(bawang putih, cabai merah, daun bawang, daun pisang, garam, jamur, merica, pisang, teh, telur)",jawa
31,nasi boran lamongan,"(air, bawang putih, beras, cabai merah, cabe rawit, daging ayam, daun bawang, daun jeruk, fermipan, garam, gula, jeruk nipis, kemiri, ketumbar, kunyit, lengkuas, minyak, penyedap rasa, tahu, teh, tempe, tepung beras, tepung tapioka, tepung terigu)",jawa
32,rujak soto banyuwangi,"(air, air asam, asam, bawang putih, cabai merah, cabe rawit, daging ayam, daun bawang, daun jeruk, garam, gula, gula merah, jahe, jeruk nipis, kacang tanah, kangkung, kemiri, kunyit, lengkuas, petis, pisang, seledri, serai, tahu, tauge, teh, tempe, timun)",jawa
33,gado gado,"(bawang putih, beras, cabai merah, garam, gula, gula merah, kacang tanah, kelapa, kentang, kerupuk, penyedap rasa, santan, tahu, telur)",jawa
34,bebek sinjay,"(bawang putih, daging bebek, daun jeruk, daun salam, jahe, jeruk nipis, kemiri, ketumbar, kunyit, lengkuas, merica, serai, teh)",jawa
35,bakso malang,"(air, baking powder, bawang putih, daging sapi, garam, kecap, merica, saos, sawi, seledri, tahu, teh, telur, tepung, tepung tapioka, tepung terigu)",jawa
36,gudeg rumahan ala anggi,"(daging ayam, daun jati, daun jeruk, daun salam, garam, gula, gula merah, jeruk nipis, kelapa, ketumbar, lengkuas, nangka, santan, serai)",jawa
37,tahu dan tempe bacem stok lauk,"(asam, bawang putih, daun salam, gula, gula merah, kecap, ketumbar, lengkuas, minyak, tahu, tempe)",jawa
38,arem arem mie double prohe mpasi finger food,"(bawang putih, daging ayam, daun pisang, daun salam, garam, jamur, kaldu jamur, kelapa, kemiri, lengkuas, mie, pisang, santan, telur)",jawa
39,gudeg nangka teh celup,"(air, bawang putih, daun salam, garam, gula, gula merah, kelapa, kemiri, lengkuas, nangka, santan, teh, telur)",jawa
40,krengsengan rempelo dan hati ayam nostalgia,"(bawang putih, cabai merah, daging ayam, daun bawang, daun jeruk, garam, gula, jahe, jeruk nipis, kecap, kemiri)",jawa
41,tahu bacem teh celup,"(air, asam, bawang putih, daun jeruk, daun salam, garam, gula, gula merah, jeruk nipis, kecap, kemiri, ketumbar, lengkuas, penyedap rasa, tahu, teh)",jawa
42,baceman tahu tempe,"(air, bawang putih, daun salam, garam, gula, gula merah, kecap, lengkuas, penyedap rasa, tahu, teh, tempe)",jawa
43,gudeg teh celup magic com,"(air, bawang putih, daging sapi, garam, kelapa, ketumbar, nangka, santan, tahu, teh, telur)",jawa
44,tahu bacem thai tea,"(air, air kelapa, bawang putih, daun jeruk, daun salam, garam, gula, gula merah, jamur, jeruk nipis, kelapa, laos, penyedap rasa, tahu, teh)",jawa
45,bacem tahu tempe dengan teh,"(air, air kelapa, bawang putih, daun salam, garam, gula, gula jawa, kecap, kelapa, lengkuas, merica, tahu, teh, tempe)",jawa
46,bacem ayam teh,"(air, asam, daging ayam, daun jeruk, daun salam, garam, gula, gula aren, jeruk nipis, kemiri, penyedap rasa, serai, teh)",jawa
47,lontong mie aremarem mie,"(air, daging ayam, daun bawang, garam, kelapa, merica, mie, minyak, penyedap rasa, santan, telur, wortel)",jawa
48,aremarem mie jagung isi ayam sayur,"(bawang putih, cabai merah, daging ayam, daun jeruk, daun salam, garam, gula, jagung, jeruk nipis, lada, minyak, wortel)",jawa
49,mie lethek goreng udang khas yogyakarta,"(cabai merah, cabe rawit, daun bawang, garam, kecap, kecap asin, kemiri, mie, penyedap rasa, saos, saos tiram, sawi, udang, wortel)",jawa
50,tahu tempe telur bacem,"(bawang putih, daun jeruk, daun salam, gula, gula merah, jahe, jeruk nipis, kecap, kemiri, lada, laos, serai, tahu, telur, tempe)",jawa
51,krengsengan daging sapi kids friendly,"(air, bawang putih, cabai merah, daging sapi, daun salam, garam, jahe, jamur, kaldu jamur, kecap, lada, udang)",jawa
52,mangut lele,"(bawang putih, cabai merah, cabe rawit, garam, ikan, jeruk nipis, kemiri, kencur, kunyit, serai, tempe)",jawa
53,sego gudangan nasi urap,"(bawang putih, cabai merah, cabe rawit, daun jeruk, jeruk nipis, kacang panjang, kangkung, kencur, lengkuas, tauge, terasi, wortel)",jawa
54,arem mie kornet cetak bunga,"(daging sapi, mie)",jawa
55,tempe bacem,"(air, air kelapa, asam, daun salam, garam, gula, gula merah, kecap, kelapa, kemiri, ketumbar, lengkuas, penyedap rasa, santan, serai, tempe)",jawa
56,tahu bacem,"(air, air kelapa, bawang putih, gula, gula merah, kecap, kelapa, ketumbar, tahu)",jawa
57,aremarem mie ala uwa,"(air, bawang putih, daging sapi, daun bawang, jamur, kaldu jamur, kelapa, merica, mie, minyak, santan, telur, wortel)",jawa
58,ayam bacem,"(air, air asam, asam, bawang putih, daging ayam, daun salam, garam, gula, gula jawa, ketumbar, penyedap rasa)",jawa
59,aremarem mie,"(air, cabai merah, cabe rawit, daging ayam, garam, gula, kelapa, kentang, merica, mie, penyedap rasa, santan, telur, wortel)",jawa
60,mangut lele asap,"(air, bawang putih, daun jeruk, daun salam, garam, gula, ikan, jeruk nipis, lengkuas, penyedap rasa, serai)",jawa
61,tempe bacem kuning,"(air, bawang putih, belimbing, daun jeruk, jeruk nipis, kunyit, merica, minyak, serai, tempe)",jawa
62,arem arem mie,"(bawang putih, cabai merah, cabe rawit, daun jeruk, daun pisang, garam, gula, jeruk nipis, kelapa, mie, penyedap rasa, pisang, santan, tempe)",jawa
63,mie goreng lethek,"(bawang putih, daun bawang, garam, kemiri, kol, lada, mie, minyak, penyedap rasa)",jawa
64,lele kuah santan pedas mangut lele,"(bawang putih, cabai hijau, cabai merah, cabe rawit, daun bawang, daun salam, ikan, kelapa, lengkuas, santan, tomat)",jawa
65,aremarem mie,"(air, cabai merah, daging ayam, daun bawang, garam, kelapa, kunyit, merica, mie, penyedap rasa, santan, telur, wortel)",jawa
66,aremarem ayam sayur,"(air, bawang putih, beras, daging ayam, daun bawang, daun salam, garam, jeruk nipis, kelapa, kentang, minyak, santan, serai, wortel)",jawa
67,aremarem daging,"(beras, daging sapi, daun pisang, daun salam, garam, kelapa, ketan, pisang, santan, serai)",jawa
68,aremarem tanpa santan,"(air, beras, daun bawang, daun pisang, daun salam, garam, kentang, minyak, pisang, serai, wortel)",jawa
69,lontong isi oncom,"(beras, garam, minyak)",jawa
70,arem arem nasi,"(air, bawang putih, beras, cabai merah, daun salam, garam, kelapa, santan, serai, tempe)",jawa
71,lontong isi ayam sayur,"(air, bawang putih, beras, daging ayam, daun bawang, daun salam, garam, kelapa, kentang, lada, santan, serai, wortel)",jawa
72,arem arem nasi,"(air, bawang putih, beras, daging ayam, daun pisang, daun salam, garam, kelapa, pisang, santan, serai, wortel)",jawa
73,tahu tempe bacem,"(asam, daging ayam, daun jeruk, daun salam, garam, gula, gula palm, jeruk nipis, kecap, ketumbar, lengkuas, serai, tahu, tempe)",jawa
74,ayam panggang kalasan,"(air, air asam, air kelapa, asam, bawang putih, daging ayam, daun salam, garam, gula, kecap, kelapa, ketumbar, lengkuas, minyak)",jawa
75,tahu bacem,"(air, bawang putih, daun salam, garam, gula, gula jawa, kecap, ketumbar, lengkuas, penyedap rasa, tahu)",jawa
76,arem arem isi rendang daging sapi,"(air, beras, daging sapi, daun pisang, daun salam, garam, kelapa, pisang, santan, serai)",jawa
77,arem arem isi oncom,"(air, beras, daun jeruk, daun pandan, daun salam, garam, jeruk nipis, kelapa, lada, minyak, oncom, santan, serai)",jawa
78,aremarem isi oseng tempe,"(air, beras, daun salam, garam, gula, gula merah, kelapa, santan, serai, tempe, wortel)",jawa
79,aremarem isi sambel goreng ati ampela,"(bawang putih, cabai merah, cabe rawit, daging ayam, daun jeruk, jahe, jeruk nipis, jeruk purut, kemiri, kunyit, lengkuas, minyak, serai)",jawa
80,arem arem lontong isi,"(air, bawang putih, beras, garam, gula, kentang, lada, minyak, penyedap rasa, wortel)",jawa
81,aremarem beras merah isi ayam,"(beras, beras merah, daging ayam, daun pisang, daun salam, garam, kecap, kelapa, pisang, santan)",jawa
82,arem arem sayuran,"(air, bawang putih, beras, daun bawang, daun salam, garam, kelapa, kemiri, kentang, merica, santan, seledri, serai, wortel)",jawa
83,lontong isi oncom wortel,"(air, beras, daun bawang, daun pisang, daun salam, garam, gula, kelapa, oncom, penyedap rasa, pisang, santan, wortel)",jawa
84,ayam kalasan,"(air, air asam, air kelapa, asam, bawang putih, daging ayam, daun salam, garam, gula, gula jawa, kelapa, kemiri, ketumbar, lengkuas, penyedap rasa, serai)",jawa
85,kolak pisang kukus arseng,"(air, daun pandan, garam, gula, kelapa, pisang, santan, telur, vanilla)",jawa
86,lontong isi oncom,"(air, beras, daun jeruk, daun kemangi, daun pandan, daun salam, garam, jeruk nipis, kelapa, kemangi, lada, minyak, oncom, santan, serai)",jawa
87,gudangan sukun,"(air, garam, sukun)",jawa
88,arem arem,"(bawang putih, beras, cabai merah, daging ayam, daun pandan, garam, kelapa, kemiri, kentang, merica, santan, serai)",jawa
89,arem arem mie isi ayam sayuran,"(air, daging ayam, daun pisang, daun salam, garam, kelapa, kunyit, lada, mie, penyedap rasa, pisang, santan, serai, telur)",jawa
90,gudangan urap,"(bawang putih, cabai merah, cabe rawit, daun jeruk, daun kenikir, garam, gula, gula merah, jeruk nipis, kencur, pepaya, tauge, terasi)",jawa
91,tumini sego nasi bancakan,"(air, bawang putih, beras, daging ayam, daun salam, daun singkong, kacang panjang, ketumbar, kunyit, tauge, ubi)",jawa
92,bacem tempe tahu,"(bawang putih, daun salam, garam, gula, gula merah, jamur, kaldu jamur, kecap, kemiri, ketumbar, lengkuas, tahu, tempe)",jawa
93,soto kadipiro,"(bawang putih, daun bawang, daun jeruk, daun salam, jeruk nipis, kol, kubis, laos, penyedap rasa, seledri, serai, tauge, tomat)",jawa
94,aremarem lontong isi,"(air, beras, daging ayam, daun pisang, daun salam, garam, kelapa, kentang, lada, pisang, santan, serai, telur, wortel)",jawa
95,mie lethek goreng khas yogyakarta ala dedifa,"(air, bawang putih, daging ayam, garam, merica, mie, minyak, penyedap rasa, sawi, udang, wortel)",jawa
96,ayam goreng kalasan bumbu instan,"(air, daging ayam, daun salam, serai)",jawa
97,tahu tempe telor bacem,"(air, air asam, asam, bawang putih, daun jeruk, daun salam, gula, gula merah, jeruk nipis, kemiri, serai, tahu, telur, tempe)",jawa
98,tahu tempe bacem khas jogja,"(air, bawang putih, daun salam, garam, gula, gula merah, ketumbar, lengkuas, minyak, tahu, tempe)",jawa
99,iga panggang bumbu bacem,"(bawang putih, daging sapi, daun salam, garam, kecap, kemiri, ketumbar, lengkuas, merica, penyedap rasa)",jawa
100,krengsengan pedas manis oseng bekicot,"(air, bawang putih, bekicot, cabai merah, cabe rawit, daun jeruk, daun salam, garam, gula, jeruk nipis, lengkuas, serai)",jawa
101,ayam ingkung,"(air, bawang putih, cabai merah, cabe rawit, daging ayam, jeruk nipis, kemiri, ketumbar, lada, minyak)",jawa
102,gudeg jogja,"(air, bawang putih, daun jeruk, daun salam, jeruk nipis, kelapa, kemiri, ketumbar, nangka, santan, serai, teh, telur)",jawa
103,gudeg yogya,"(bawang putih, daun jeruk, daun salam, garam, gula, gula merah, jeruk nipis, kelapa, kemiri, ketumbar, lengkuas, nangka, santan, serai)",jawa
104,krengsengan khas surabaya,"(air, daun salam, garam, kecap, lada, laos, petis, serai)",jawa
105,mangut lele,"(air, bawang putih, cabai merah, daun jeruk, garam, gula, gula aren, ikan, jeruk nipis, kelapa, santan)",jawa
106,gudangan urap sayur,"(bawang putih, bayam, cabai merah, daging ayam, daun jeruk, garam, jeruk nipis, jeruk purut, kacang panjang, kencur, kol, kubis, tauge, telur, wortel)",jawa
107,mie lethek goreng bantul,"(bawang putih, daun bawang, garam, jamur, kaldu jamur, kemiri, kol, lada, mie, minyak, telur, wortel)",jawa
108,oseng mercon daging sapi khas yogyakarta,"(air, bawang putih, cabai merah, cabe rawit, daging sapi, daun jeruk, daun salam, jeruk nipis, lengkuas, minyak, serai, tomat)",jawa
109,ayam goreng kalasan,"(air, air kelapa, bawang putih, cabai merah, daging ayam, garam, gula, kelapa, minyak, soda kue, tomat)",jawa
110,bakpia pathuk kacang ijo,"(air, daun pandan, garam, gula, kacang hijau, kelapa, margarin, mentega, minyak, santan, tepung terigu)",jawa
111,ayam bacem praktis,"(air, air kelapa, daging ayam, daun salam, gula, gula merah, kecap, kelapa, serai)",jawa
112,tahu tempe bacem,"(bawang putih, garam, gula, gula aren, kecap, ketumbar, lada, merica, tahu, telur, tempe)",jawa
113,nasi liwet gudeg komplit,"(bawang putih, daun jeruk, daun salam, gula, gula jawa, jeruk nipis, kelapa, kemiri, lengkuas, nangka, santan, serai, teh, telur)",jawa
114,bacem tempe tahu dan ayam,"(air, bawang putih, daging ayam, daun salam, garam, gula, jamur, kaldu jamur, ketumbar, tahu, tempe)",jawa
115,mie godok nyemek simple ala jogja,"(air, bawang putih, cabai merah, daun bawang, kecap, kol, kubis, mie, minyak, penyedap rasa, telur, wortel)",jawa
116,bacem,"(air, air kelapa, asam, daging ayam, daun jeruk, daun salam, gula, gula jawa, jahe, jeruk nipis, kecap, kelapa, lengkuas, serai, tahu, tempe)",jawa
117,kuah krengsengan ati ampela tempe,"(air, bawang putih, cabai merah, cabe rawit, daging ayam, daun salam, garam, jahe, kemiri, penyedap rasa, tempe)",jawa
118,bacem ekstra hott,"(bawang putih, daun salam, garam, gula, gula merah, ketumbar, kunyit, lada, oncom, serai, tahu, tempe)",jawa
119,putri keraton khas banjarmasin,"(air, biskuit, margarin, susu, telur)",jawa
120,mangut ikan lele sederhana ramah anak,"(air, bawang putih, cabai merah, daun jeruk, daun salam, ikan, jeruk nipis, kelapa, kemiri, santan, serai, tomat)",jawa
121,mie lethek khas bantul,"(bawang putih, daging ayam, daging sapi, garam, gula, kol, mie, penyedap rasa, telur, wortel)",jawa
122,bakmi godhog khas yogyakarta,"(air, bawang putih, daging ayam, garam, kemiri, lada, mie, telur, udang)",jawa
123,jukut kalasan jukut bejek,"(air, bawang putih, daun salam, garam, kacang panjang, kelapa, kemiri, kencur, kunyit, penyedap rasa, santan)",jawa
124,gado gado jogja,"(bawang putih, cabai merah, kacang panjang, kacang tanah, kentang, selada, tahu, tauge, telur, tomat)",jawa
125,mangut lele,"(bawang putih, cabai merah, cabe rawit, daun salam, garam, gula, gula merah, ikan, kelapa, kemiri, ketumbar, kunyit, lada, penyedap rasa, santan, serai)",jawa
126,sambal kentang krecek jogja,"(cabai merah, cabe tanjung, daun jeruk, daun salam, garam, gula, gula merah, jeruk nipis, kentang, lengkuas, minyak, penyedap rasa, serai)",jawa
127,bolu kembang waru khas jogyakarta,"(garam, gula, minyak, pewarna makanan, telur, tepung terigu, vanilla)",jawa
128,gudeg jogja,"(daging sapi, garam, gula, gula merah, kelapa, kluwek, nangka, penyedap rasa, santan)",jawa
129,ayam panggang kalasan santan,"(bawang putih, daging ayam, gula, gula merah, jeruk nipis, jintan, kelapa, kemiri, ketumbar, santan, serai)",jawa
130,ayam goreng kalasan,"(air, air kelapa, bawang putih, daging ayam, daun salam, garam, gula, gula merah, jahe, kecap, kelapa, kemiri, santan, serai)",jawa
131,ayam tempe goreng kalasan,"(air, air kelapa, asam, bawang putih, daging ayam, daun jeruk, daun salam, garam, gula, gula jawa, jamur, jeruk nipis, kecap, kelapa, lada, lengkuas, serai, tempe)",jawa
132,gudeg khas yogya praktis dengan fibercreme,"(air, daun jati, daun jeruk, daun salam, garam, gula, jeruk nipis, lengkuas, nangka, penyedap rasa, teh, telur)",jawa
133,krengsengan daging kambing khas jawa timur,"(air, bawang putih, daging kambing, garam, kecap, lada, minyak, penyedap rasa, pepaya, petis, udang)",jawa
134,gudangan jawa tengah,"(bawang putih, bayam, cabai merah, daun jeruk, garam, gula, gula jawa, jeruk nipis, kacang panjang, kencur, tauge, wortel)",jawa
135,mie lethek,"(air, bawang putih, daging ayam, daun bawang, garam, kecap, kol, mie, minyak, penyedap rasa, pokcoy, seledri)",jawa
136,ayam goreng kalasan,"(air, air kelapa, daging ayam, daun salam, gula, gula merah, kelapa, lengkuas)",jawa
137,sambal ayam goreng kalasan,"(air, cabai merah, cabe rawit, daging ayam, garam, gula, gula merah, minyak, tomat)",jawa
138,mie lethek goreng khas bantul,"(air, bawang putih, daun bawang, garam, gula, kol, merica, mie, minyak, penyedap rasa, udang, wortel)",jawa
139,gudangan jogja,"(bawang putih, bayam, buncis, garam, gula, gula merah, kencur, kol, labu, timun, wortel)",jawa
140,lotek jogja,"(air, bawang putih, bayam, daun jeruk, jeruk nipis, jeruk purut, kacang tanah, kencur, kol, kubis, tauge, timun, tomat)",jawa
141,bakpia pathuk kacang hijau,"(air, fermipan, garam, gula, kacang hijau, kelapa, ragi, santan, tepung terigu, vanili)",jawa
142,bakpia pathuk,"(air, coklat, garam, gula, margarin, minyak, tepung terigu)",jawa
143,ayam ingkung bumbu iris,"(air, bawang putih, daging ayam, daun salam, garam, gula, jahe, kelapa, ketumbar, lada, lengkuas, santan, serai)",jawa
144,ayam goreng kalasan balut telur,"(daging ayam, garam, minyak, penyedap rasa, telur)",jawa
145,telur kribo yogyakarta,"(bawang putih, daging ayam, daun bawang, minyak, penyedap rasa, telur, tepung terigu)",jawa
146,krengsengan ala ibu,"(air, bawang putih, cabai merah, cabe rawit, daging sapi, garam, gula, kecap, kemiri, lada)",jawa
147,bacem sate telur puyuh,"(air, air kelapa, bawang putih, daun salam, garam, gula, gula merah, jamur, kaldu jamur, kecap, kelapa, lengkuas, serai, telur, telur puyuh)",jawa
148,telur bacem,"(bawang putih, daging ayam, daun salam, garam, gula, gula merah, kecap, laos, minyak, penyedap rasa, telur)",jawa
149,paru bacem,"(asam, bawang putih, daging ayam, daun jeruk, garam, gula, gula merah, jahe, jeruk nipis, ketumbar, laos, serai)",jawa
150,kue kipo,"(air, daun pandan, garam, gula, gula merah, kelapa, ketan, santan, tepung ketan, tepung terigu)",jawa
151,ayam bacem,"(air, air kelapa, bawang putih, daging ayam, daun salam, gula, gula merah, kecap, kelapa, kemiri, ketumbar, laos)",jawa
152,opor putih ayam tahu telur pelengkap gudeg,"(bawang putih, daging ayam, daun jeruk, daun salam, jeruk nipis, kelapa, kemiri, ketumbar, lengkuas, minyak, santan, tahu, telur)",jawa
153,ayam goreng bacem,"(air, air kelapa, bawang putih, daging ayam, daun salam, gula, gula merah, kecap, kelapa, lada, lengkuas)",jawa
154,mangut lele,"(air, bawang putih, cabai merah, cabe rawit, daging ayam, daun jeruk, daun salam, garam, gula, ikan, jeruk nipis, kelapa, kemangi, lengkuas, santan, serai)",jawa
155,bacem tahu tempe masak magicom,"(asam, bawang putih, daging ayam, daun salam, jahe, ketumbar, lengkuas, tahu, tempe)",jawa
156,krengsengan daging dan telur,"(air, bawang putih, cabai merah, garam, gula, gula merah, kecap, lengkuas, petis, serai, telur, udang)",jawa
157,mangut lele pandan,"(bawang putih, cabai merah, cabe rawit, daun pandan, garam, gula, gula merah, ikan, jahe, kencur, kunyit)",jawa
158,ayam bacem,"(air, air kelapa, bawang putih, daging ayam, daun salam, garam, gula, gula merah, jintan, kecap, kelapa, ketumbar, lengkuas)",jawa
159,ayam ingkung,"(bawang putih, daging ayam, garam, jahe, kelapa, kemiri, ketumbar, kunyit, lada, lengkuas, santan)",jawa
160,ayam ingkung,"(bawang putih, cabai merah, cabe rawit, daging ayam, daun asam, daun jeruk, daun salam, jeruk nipis, kelapa, ketumbar, lada, santan, serai)",jawa
161,loncom tempe,"(air, bawang putih, cabai merah, cabe rawit, garam, gula, gula jawa, lada, lengkuas, minyak, tempe)",jawa
162,bacem tempe tahu,"(air, bawang putih, daun salam, garam, gula, gula merah, kecap, ketumbar, lada, lengkuas, penyedap rasa, tahu, tempe)",jawa
163,gajebo makanan khas uii jogja,"(bawang putih, cabai merah, cabe rawit, daging ayam, kecap, lada, penyedap rasa, saos, saos tiram, tepung terigu, terong)",jawa
164,bumbu dasar merah putih kuning dan baceman bawang putih,"(bawang putih, cabai merah, cabe rawit, kemiri, kunyit, lengkuas, minyak, tomat, wijen)",jawa
165,tempe bacem,"(asam, bawang putih, daging ayam, garam, gula, gula merah, kecap, ketumbar, penyedap rasa, tahu, tempe)",jawa
166,brongkos ndeso brongkos kacang tholo,"(cabai merah, garam, gula, gula jawa, kacang tholo, lada, penyedap rasa, tahu, telur, tempe)",jawa
167,ayam dan tempe bacem stok lauk,"(air, air kelapa, daging ayam, daun salam, garam, gula, gula merah, kecap, kelapa, ketumbar, lengkuas, minyak, tempe)",jawa
168,sayur nangka muda gudeg,"(bawang putih, coklat, daun salam, garam, gula, gula jawa, kelapa, kemiri, ketumbar, laos, nangka, santan, tahu, telur)",jawa
169,tahu guling,"(air, beras, kacang tanah, kerupuk, kol, seledri, tahu, tauge, tempe)",jawa
170,krengsengan daging kambing,"(bawang putih, cabai hijau, cabai merah, garam, gula, jahe, kayu manis, kecap, lada, tomat)",jawa
171,tongkol baceman air asem jawa ut persediaan frozen di rumah,"(air, air asam, asam, garam, ikan)",jawa
172,krengsengan daging sapi,"(bawang putih, daging sapi, garam, kecap, lada, minyak, penyedap rasa, petis, udang)",jawa
173,lontong isi ayam sayur,"(air, beras, buncis, daging ayam, daun pisang, daun salam, garam, kelapa, lada, minyak, penyedap rasa, pisang, santan, serai)",jawa
174,lontong isi sayuran,"(air, bawang putih, beras, daun bawang, daun pandan, daun pisang, daun salam, garam, kentang, pisang, wortel)",jawa
175,ayam bacem panggang oven,"(asam, daging ayam, daun jeruk, daun salam, garam, gula, gula aren, jeruk nipis, lada, penyedap rasa, serai)",jawa
176,mi lethek goreng,"(air, bawang putih, daging ayam, daun bawang, kemiri, kol, lada, seledri, telur, wortel)",jawa
177,mi lethek godog,"(bawang putih, daging ayam, daun bawang, kemiri, kol, lada, seledri, telur, wortel)",jawa
178,krengsengan ayam khas surabaya,"(air, bawang putih, daging ayam, daun jeruk, daun salam, jeruk nipis, jeruk purut, kecap, kemiri, lengkuas, minyak, petis, serai, udang)",jawa
179,putri keraton,(biskuit),jawa
180,krengsengan kambing,"(air, bawang putih, daging kambing, daun salam, garam, gula, kecap, kemiri, lengkuas, minyak, penyedap rasa)",jawa
181,ayam ingkung pedas,"(bawang putih, cabai merah, cabe rawit, daging ayam, daun jeruk, daun salam, garam, jahe, jeruk nipis, kelapa, kemiri, kunyit, lengkuas, santan, serai)",jawa
182,krengsengan sapi,"(cabai merah, daging sapi, garam, gula, jahe, kecap, lada, petis, tomat, udang)",jawa
183,urap kelapa gudangan,"(bawang putih, cabai merah, daun jeruk, garam, gula, gula merah, jeruk nipis, kencur, terasi)",jawa
184,gudangan jantung pisang,"(bawang putih, cabai merah, cabe rawit, coklat, daun beluntas, daun jeruk, jantung pisang, jeruk nipis, kacang panjang, kencur, pisang, tauge, terasi, timun)",jawa
185,ayam ingkung metode kukus,"(bawang putih, daging ayam, garam, jahe, ketumbar, kunyit, lada, lengkuas, maizena, penyedap rasa, serai, tepung terigu)",jawa
186,tempe bacem,"(air, bawang putih, daun salam, garam, gula, gula merah, kecap, ketumbar, lengkuas, penyedap rasa, tahu, tempe)",jawa
187,mangut lele,"(bawang putih, cabai merah, daun jeruk, daun salam, jahe, jeruk nipis, ketumbar, kunyit, lengkuas, merica, serai)",jawa
188,sambal ayam kalasan,"(air, bawang bombay, cabai merah, cabe rawit, daging ayam, daun jeruk, garam, gula, jeruk nipis, minyak, terasi, tomat)",jawa
189,ayam goreng kalasan,"(daging ayam, daun jeruk, daun salam, garam, jahe, jeruk nipis, jintan, kemiri, ketumbar, lada, lengkuas, serai)",jawa
190,bacem kepala ayam ala angkringan,"(air, bawang putih, daging ayam, daun salam, gula, gula merah, jahe, kunyit, minyak)",jawa
191,krengsengan belut,"(bawang putih, belut, cabai merah, daun jeruk, daun salam, garam, gula, jahe, jeruk nipis, jeruk purut, ketumbar, lengkuas, merica, penyedap rasa, serai)",jawa
